# HOMER Peaks
# Peak finding parameters:
# tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags
#
# total peaks = 20447
# peak size = 1000
# peaks found using tags on both strands
# minimum distance between peaks = 2500
# fragment length = 170
# genome size = 2000000000
# Total tags = 34851833.0
# Total tags in peaks = 6020541.0
# Approximate IP efficiency = 17.27%
# tags per bp = 0.016404
# expected tags per peak = 16.404
# maximum tags considered per bp = 1.0
# effective number of tags used for normalization = 10000000.0
# Individual peaks have been stitched together into variable length regions
# FDR rate threshold = 0.001000000
# FDR effective poisson threshold = 8.506879e-06
# FDR tag threshold = 37.0
# number of putative peaks = 291816
#
# input tag directory = /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags
# Fold over input required = 4.00
# Poisson p-value over input required = 1.00e-04
# Putative peaks filtered by input = 1883
#
# size of region used for local filtering = 10000
# Fold over local region required = 4.00
# Poisson p-value over local region required = 1.00e-04
# Putative peaks filtered by local signal = 0
#
# Maximum fold under expected unique positions for tags = 2.00
# Putative peaks filtered for being too clonal = 0
#
# cmd = /ru-auth/local/home/tcarroll/Homer//bin/findPeaks /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_forHomer_HomerTags -i /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/BAMs/Sorted_H3K27Ac_Limb_1_Vs_Sorted_Input_Limb_forHomer_HomerTags -region -size 1000 -minDist 2500 -o /rugpfs/fs0/ruit/scratch/tcarroll/chipSeq/testRunBroad/Peaks//HOMER/H3K27Ac_Limb_1/_H3K27Ac_Limb_1__Input_Limb_Homer/_H3K27Ac_Limb_1__Input_Limb_homer.txt
#
# Column Headers:
#PeakID	chr	start	end	strand	Normalized Tag Count	region size	findPeaks Score	Total Tags	Control Tags (normalized to IP Experiment)	Fold Change vs Control	p-value vs Control	Clonal Fold Change
chr8-3212	chr8	84646725	84666364	+	1015.7	19639.000	91.000000	3540.0	324.1	10.92	0.00e+00	0.87
chr2-4488	chr2	165873893	165890315	+	1013.1	16422.000	101.000000	3531.0	307.6	11.48	0.00e+00	0.91
chr4-7686	chr4	136133354	136152039	+	987.9	18685.000	62.000000	3443.0	342.9	10.04	0.00e+00	0.92
chr5-6081	chr5	119793584	119808654	+	955.8	15070.000	64.000000	3331.0	262.3	12.70	0.00e+00	0.93
chr3-5309	chr3	66969856	66986907	+	952.9	17051.000	58.000000	3321.0	276.4	12.01	0.00e+00	0.89
chr18-1936	chr18	82900943	82920126	+	934.0	19183.000	90.000000	3255.0	335.2	9.71	0.00e+00	0.83
chr4-3645	chr4	133751235	133758361	+	926.8	7126.000	99.000000	3230.0	120.6	26.79	0.00e+00	0.85
chr11-13218	chr11	96298139	96328105	+	890.1	29966.000	50.000000	3102.0	480.5	6.46	0.00e+00	0.97
chr11-8189	chr11	120183232	120190871	+	876.6	7639.000	68.000000	3055.0	139.4	21.92	0.00e+00	0.86
chr6-7817	chr6	50976106	51007935	+	874.8	31829.000	52.000000	3049.0	568.1	5.37	0.00e+00	0.94
chr1-4686	chr1	86521778	86530086	+	863.7	8308.000	72.000000	3010.0	142.9	21.06	0.00e+00	0.79
chr6-4183	chr6	30537204	30554937	+	859.4	17733.000	77.000000	2995.0	324.7	9.23	0.00e+00	0.93
chr2-8166	chr2	30642984	30662892	+	856.5	19908.000	67.000000	2985.0	385.2	7.75	0.00e+00	0.90
chr9-11067	chr9	107974147	107987225	+	854.5	13078.000	44.000000	2978.0	259.4	11.48	0.00e+00	0.92
chr1-10579	chr1	163306736	163317283	+	852.5	10547.000	46.000000	2971.0	187.6	15.84	0.00e+00	0.78
chr17-2822	chr17	34117843	34124299	+	852.2	6456.000	93.000000	2970.0	127.6	23.27	0.00e+00	0.78
chr12-4430	chr12	33955099	33969441	+	850.2	14342.000	60.000000	2963.0	222.9	13.29	0.00e+00	0.94
chr4-4129	chr4	154632832	154643945	+	845.6	11113.000	91.000000	2947.0	207.6	14.19	0.00e+00	0.86
chr10-3872	chr10	120472782	120479246	+	845.0	6464.000	73.000000	2945.0	116.5	25.29	0.00e+00	0.76
chr2-8954	chr2	166141774	166159902	+	835.8	18128.000	64.000000	2913.0	324.1	8.99	0.00e+00	0.94
chr10-2922	chr10	99260362	99271557	+	826.6	11195.000	90.000000	2881.0	200.0	14.41	0.00e+00	0.90
chr8-4085	chr8	57317861	57335955	+	824.3	18094.000	77.000000	2873.0	323.5	8.88	0.00e+00	0.96
chr1-8207	chr1	138836024	138850004	+	822.9	13980.000	52.000000	2868.0	208.8	13.74	0.00e+00	0.95
chr9-6487	chr9	44477572	44502425	+	822.9	24853.000	59.000000	2868.0	455.8	6.29	0.00e+00	0.96
chr18-2431	chr18	65576784	65585814	+	810.9	9030.000	77.000000	2826.0	165.9	17.04	0.00e+00	0.75
chr5-7442	chr5	115428328	115440089	+	807.1	11761.000	56.000000	2813.0	207.6	13.55	0.00e+00	0.91
chr11-12744	chr11	96001857	96013028	+	804.5	11171.000	51.000000	2804.0	163.5	17.15	0.00e+00	0.83
chr9-6320	chr9	43244218	43266220	+	803.7	22002.000	60.000000	2801.0	395.2	7.09	0.00e+00	0.97
chr12-4043	chr12	27337567	27345199	+	790.5	7632.000	63.000000	2755.0	125.3	21.99	0.00e+00	0.82
chr15-2615	chr15	103294754	103309549	+	790.2	14795.000	90.000000	2754.0	276.4	9.96	0.00e+00	0.89
chr11-14931	chr11	102601772	102612497	+	784.5	10725.000	47.000000	2734.0	184.7	14.80	0.00e+00	0.91
chr15-3202	chr15	102997254	103016773	+	784.5	19519.000	77.000000	2734.0	364.6	7.50	0.00e+00	0.92
chr9-11747	chr9	32538836	32552013	+	780.4	13177.000	42.000000	2720.0	228.8	11.89	0.00e+00	0.92
chr11-15725	chr11	11819674	11838121	+	779.0	18447.000	45.000000	2715.0	294.7	9.21	0.00e+00	0.90
chr11-5606	chr11	98922488	98944878	+	777.3	22390.000	89.000000	2709.0	402.9	6.72	0.00e+00	0.98
chr11-24083	chr11	69407269	69420894	+	777.0	13625.000	37.000000	2708.0	248.8	10.88	0.00e+00	0.96
chr13-3399	chr13	56151186	56173637	+	777.0	22451.000	73.000000	2708.0	393.5	6.88	0.00e+00	0.96
chr18-1655	chr18	84083813	84093462	+	770.7	9649.000	100.000000	2686.0	147.6	18.19	0.00e+00	0.86
chr11-7288	chr11	19009670	19022655	+	768.4	12985.000	73.000000	2678.0	198.8	13.47	0.00e+00	0.89
chr10-6679	chr10	80145169	80153471	+	765.0	8302.000	51.000000	2666.0	167.0	15.96	0.00e+00	0.89
chr7-5919	chr7	142654276	142665712	+	764.7	11436.000	71.000000	2665.0	213.5	12.48	0.00e+00	0.90
chr3-9291	chr3	99247018	99263625	+	762.7	16607.000	42.000000	2658.0	266.4	9.98	0.00e+00	0.92
chr5-12758	chr5	75146948	75157600	+	760.4	10652.000	42.000000	2650.0	190.0	13.95	0.00e+00	0.98
chr7-5166	chr7	99350081	99362422	+	760.1	12341.000	78.000000	2649.0	214.7	12.34	0.00e+00	0.91
chr18-2578	chr18	75365560	75374988	+	758.9	9428.000	74.000000	2645.0	180.6	14.65	0.00e+00	0.89
chr2-10788	chr2	157456317	157468038	+	756.6	11721.000	57.000000	2637.0	231.7	11.38	0.00e+00	0.90
chr15-2883	chr15	96283993	96289799	+	740.3	5806.000	83.000000	2580.0	94.1	27.42	0.00e+00	0.81
chr7-4498	chr7	28370547	28383478	+	730.5	12931.000	86.000000	2546.0	240.0	10.61	0.00e+00	0.97
chr17-2258	chr17	4993179	4997843	+	729.1	4664.000	109.000000	2541.0	62.3	40.76	0.00e+00	0.72
chr17-4009	chr17	27551808	27559230	+	727.1	7422.000	72.000000	2534.0	124.7	20.32	0.00e+00	0.80
chr2-4472	chr2	116059786	116072960	+	720.5	13174.000	101.000000	2511.0	185.3	13.55	0.00e+00	0.90
chr7-11719	chr7	127014328	127029076	+	715.3	14748.000	46.000000	2493.0	254.7	9.79	0.00e+00	0.97
chr11-13406	chr11	120346824	120354063	+	713.6	7239.000	50.000000	2487.0	142.9	17.40	0.00e+00	0.85
chr12-3847	chr12	80108835	80117130	+	713.6	8295.000	65.000000	2487.0	157.6	15.78	0.00e+00	0.90
chr7-6386	chr7	142470146	142488927	+	710.7	18781.000	67.000000	2477.0	348.8	7.10	0.00e+00	0.96
chr8-4980	chr8	70689261	70701733	+	710.4	12472.000	68.000000	2476.0	200.6	12.35	0.00e+00	0.91
chr11-7668	chr11	96339996	96355616	+	704.4	15620.000	71.000000	2455.0	281.7	8.71	0.00e+00	0.94
chr13-6901	chr13	21777891	21791990	+	702.7	14099.000	47.000000	2449.0	166.4	14.71	0.00e+00	0.96
chr9-3458	chr9	106344799	106362101	+	695.5	17302.000	92.000000	2424.0	311.1	7.79	0.00e+00	0.96
chr6-3761	chr6	52157776	52180595	+	694.4	22819.000	83.000000	2420.0	398.2	6.08	0.00e+00	1.01
chr2-5795	chr2	32311081	32322814	+	689.2	11733.000	84.000000	2402.0	234.7	10.24	0.00e+00	0.90
chr14-3869	chr14	28502025	28512565	+	680.0	10540.000	60.000000	2370.0	181.1	13.08	0.00e+00	0.94
chr9-8244	chr9	62340194	62345826	+	679.2	5632.000	51.000000	2367.0	105.9	22.36	0.00e+00	0.82
chr7-3976	chr7	82864424	82870904	+	675.7	6480.000	94.000000	2355.0	107.0	22.00	0.00e+00	0.79
chr8-8937	chr8	108702405	108716128	+	675.7	13723.000	49.000000	2355.0	211.7	11.12	0.00e+00	0.94
chr12-2876	chr12	8840253	8860964	+	670.0	20711.000	77.000000	2335.0	384.6	6.07	0.00e+00	0.92
chr3-5415	chr3	30008224	30021322	+	665.7	13098.000	57.000000	2320.0	202.3	11.47	0.00e+00	1.00
chr5-4251	chr5	124350543	124355826	+	664.2	5283.000	82.000000	2315.0	90.6	25.56	0.00e+00	0.79
chr13-11012	chr13	80881859	80887831	+	662.5	5972.000	38.000000	2309.0	95.9	24.09	0.00e+00	0.86
chr16-3254	chr16	30060215	30071987	+	661.9	11772.000	61.000000	2307.0	195.3	11.81	0.00e+00	0.92
chr6-8746	chr6	86522959	86528615	+	655.3	5656.000	49.000000	2284.0	100.0	22.84	0.00e+00	0.82
chr10-2295	chr10	37135532	37142361	+	654.8	6829.000	107.000000	2282.0	94.7	24.10	0.00e+00	0.90
chr3-6142	chr3	88527089	88537282	+	653.6	10193.000	53.000000	2278.0	187.0	12.18	0.00e+00	0.83
chr9-11377	chr9	61368521	61375344	+	651.9	6823.000	43.000000	2272.0	121.7	18.66	0.00e+00	0.94
chr3-3774	chr3	148985925	148991914	+	649.0	5989.000	75.000000	2262.0	107.0	21.13	0.00e+00	0.77
chr15-3375	chr15	102947704	102969471	+	645.3	21767.000	74.000000	2249.0	394.1	5.71	0.00e+00	0.96
chr8-6102	chr8	27084416	27094480	+	641.0	10064.000	60.000000	2234.0	175.3	12.75	0.00e+00	0.88
chr2-8290	chr2	166161832	166183776	+	637.0	21944.000	67.000000	2220.0	376.4	5.90	0.00e+00	0.95
chr15-3338	chr15	27776274	27791054	+	635.8	14780.000	74.000000	2216.0	237.0	9.35	0.00e+00	0.90
chr7-14152	chr7	16398280	16404546	+	624.4	6266.000	41.000000	2176.0	96.5	22.56	0.00e+00	0.78
chr3-3485	chr3	101392997	101403615	+	623.2	10618.000	79.000000	2172.0	180.0	12.07	0.00e+00	0.92
chr6-5560	chr6	51467521	51472833	+	621.5	5312.000	64.000000	2166.0	95.3	22.73	0.00e+00	0.88
chr12-3435	chr12	13173298	13200846	+	619.8	27548.000	69.000000	2160.0	468.7	4.61	0.00e+00	0.93
chr11-10748	chr11	24075375	24083545	+	617.2	8170.000	56.000000	2151.0	107.0	20.09	0.00e+00	0.88
chr4-5867	chr4	149885070	149898957	+	615.5	13887.000	73.000000	2145.0	243.5	8.81	0.00e+00	0.96
chr5-5866	chr5	64801690	64813535	+	615.2	11845.000	65.000000	2144.0	233.5	9.18	0.00e+00	0.92
chr14-5387	chr14	122471528	122486622	+	615.2	15094.000	50.000000	2144.0	254.1	8.44	0.00e+00	0.96
chr13-1325	chr13	55209375	55214129	+	613.2	4754.000	142.000000	2137.0	94.7	22.57	0.00e+00	0.84
chr13-3706	chr13	23526009	23538981	+	610.6	12972.000	69.000000	2128.0	171.1	12.43	0.00e+00	0.91
chr4-7432	chr4	106904460	106914292	+	609.4	9832.000	63.000000	2124.0	177.0	12.00	0.00e+00	0.93
chr16-1680	chr16	4649135	4662113	+	609.2	12978.000	94.000000	2123.0	224.1	9.47	0.00e+00	0.94
chr6-5969	chr6	30664520	30684160	+	608.9	19640.000	61.000000	2122.0	349.4	6.07	0.00e+00	0.93
chr19-3608	chr19	46037200	46047177	+	606.6	9977.000	54.000000	2114.0	176.4	11.98	0.00e+00	0.85
chr1-3846	chr1	86501118	86510831	+	606.0	9713.000	82.000000	2112.0	178.2	11.85	0.00e+00	0.94
chr2-8811	chr2	30060709	30068778	+	602.0	8069.000	64.000000	2098.0	140.6	14.93	0.00e+00	1.00
chr4-15796	chr4	54943967	54951124	+	601.1	7157.000	42.000000	2095.0	110.6	18.95	0.00e+00	0.86
chr11-5091	chr11	99060047	99084823	+	600.8	24776.000	95.000000	2094.0	445.2	4.70	0.00e+00	0.93
chr8-9573	chr8	79027093	79034226	+	600.0	7133.000	47.000000	2091.0	108.8	19.22	0.00e+00	0.90
chr13-10360	chr13	63562193	63569808	+	598.5	7615.000	39.000000	2086.0	120.0	17.39	0.00e+00	0.90
chr7-8216	chr7	34650509	34656655	+	596.0	6146.000	56.000000	2077.0	105.3	19.73	0.00e+00	0.87
chr19-1772	chr19	5799542	5813181	+	595.7	13639.000	87.000000	2076.0	244.7	8.49	0.00e+00	0.98
chr2-6457	chr2	38347308	38358765	+	591.6	11457.000	78.000000	2062.0	212.9	9.68	0.00e+00	0.94
chr8-6697	chr8	89036978	89047696	+	589.4	10718.000	57.000000	2054.0	172.9	11.88	0.00e+00	0.86
chr14-4069	chr14	21981445	21991688	+	587.3	10243.000	58.000000	2047.0	177.0	11.56	0.00e+00	0.89
chr18-4329	chr18	54983081	54994037	+	581.9	10956.000	53.000000	2028.0	165.3	12.27	0.00e+00	0.94
chr17-4424	chr17	70847030	70854712	+	580.7	7682.000	68.000000	2024.0	124.7	16.23	0.00e+00	0.85
chr19-3131	chr19	55740760	55749841	+	578.4	9081.000	59.000000	2016.0	153.5	13.13	0.00e+00	0.93
chr2-3335	chr2	30827304	30840307	+	577.3	13003.000	123.000000	2012.0	245.8	8.18	0.00e+00	0.88
chr6-3973	chr6	49212362	49221047	+	576.7	8685.000	80.000000	2010.0	150.0	13.40	0.00e+00	0.97
chr7-10830	chr7	133119494	133125818	+	573.6	6324.000	48.000000	1999.0	92.3	21.65	0.00e+00	0.79
chr5-7338	chr5	30906430	30916646	+	569.0	10216.000	56.000000	1983.0	177.6	11.16	0.00e+00	0.97
chr11-8311	chr11	102315829	102320932	+	567.0	5103.000	67.000000	1976.0	81.2	24.35	0.00e+00	0.78
chr12-4148	chr12	25093981	25102455	+	566.4	8474.000	62.000000	1974.0	169.4	11.65	0.00e+00	0.90
chr11-11728	chr11	3287527	3294655	+	565.3	7128.000	53.000000	1970.0	107.0	18.40	0.00e+00	0.93
chr13-2577	chr13	55824271	55837916	+	563.0	13645.000	89.000000	1962.0	251.1	7.81	0.00e+00	0.90
chr3-2857	chr3	87944197	87952991	+	558.9	8794.000	91.000000	1948.0	157.0	12.40	0.00e+00	0.92
chr17-4140	chr17	84179683	84190098	+	558.7	10415.000	71.000000	1947.0	174.1	11.18	0.00e+00	0.96
chr7-7039	chr7	45122425	45130663	+	556.1	8238.000	62.000000	1938.0	137.6	14.08	0.00e+00	0.93
chr13-6092	chr13	60173315	60179599	+	554.3	6284.000	51.000000	1932.0	98.8	19.55	0.00e+00	0.77
chr2-15654	chr2	30466293	30475562	+	552.1	9269.000	46.000000	1924.0	160.6	11.98	0.00e+00	0.92
chr10-4238	chr10	60804834	60818728	+	552.1	13894.000	68.000000	1924.0	250.0	7.70	0.00e+00	0.93
chr8-8519	chr8	87956932	87963193	+	550.9	6261.000	50.000000	1920.0	112.3	17.09	0.00e+00	0.85
chr1-4432	chr1	162214654	162224167	+	550.3	9513.000	75.000000	1918.0	148.2	12.94	0.00e+00	0.89
chr13-3746	chr13	58126244	58130668	+	550.0	4424.000	69.000000	1917.0	80.0	23.97	0.00e+00	0.76
chr15-2106	chr15	78831250	78846005	+	550.0	14755.000	104.000000	1917.0	259.4	7.39	0.00e+00	0.98
chr15-2424	chr15	102742978	102756668	+	550.0	13690.000	95.000000	1917.0	248.8	7.71	0.00e+00	0.95
chr11-8092	chr11	70652287	70658974	+	546.9	6687.000	68.000000	1906.0	117.6	16.20	0.00e+00	0.87
chr15-3801	chr15	102242203	102251815	+	544.6	9612.000	68.000000	1898.0	181.7	10.44	0.00e+00	0.95
chr17-3369	chr17	83981717	83993930	+	543.4	12213.000	82.000000	1894.0	224.1	8.45	0.00e+00	0.94
chr18-5768	chr18	13968303	13973892	+	542.0	5589.000	45.000000	1889.0	87.0	21.70	0.00e+00	0.83
chr13-6547	chr13	78193409	78204763	+	541.7	11354.000	49.000000	1888.0	151.2	12.49	0.00e+00	0.82
chr5-6621	chr5	23431535	23436688	+	541.4	5153.000	60.000000	1887.0	80.6	23.42	0.00e+00	0.81
chr9-5100	chr9	107625859	107636718	+	538.6	10859.000	70.000000	1877.0	198.8	9.44	0.00e+00	0.95
chr10-3252	chr10	43576857	43582030	+	538.6	5173.000	82.000000	1877.0	82.9	22.63	0.00e+00	0.83
chr2-8664	chr2	91929438	91934890	+	536.6	5452.000	65.000000	1870.0	118.8	15.74	0.00e+00	0.90
chr4-4637	chr4	106858913	106870469	+	536.6	11556.000	84.000000	1870.0	217.0	8.62	0.00e+00	0.90
chr4-4841	chr4	124699172	124711428	+	534.8	12256.000	82.000000	1864.0	202.9	9.19	0.00e+00	0.93
chr1-6125	chr1	86439357	86444847	+	532.8	5490.000	61.000000	1857.0	96.5	19.25	0.00e+00	0.78
chr1-5983	chr1	119046954	119055526	+	532.3	8572.000	62.000000	1855.0	138.8	13.36	0.00e+00	0.95
chr2-10234	chr2	167537441	167550133	+	532.0	12692.000	59.000000	1854.0	235.3	7.88	0.00e+00	0.90
chr15-5129	chr15	96639639	96644711	+	531.4	5072.000	56.000000	1852.0	83.5	22.18	0.00e+00	0.83
chr2-25443	chr2	72977672	72981948	+	530.8	4276.000	37.000000	1850.0	58.2	31.77	0.00e+00	0.81
chr7-6037	chr7	144937101	144944373	+	530.5	7272.000	70.000000	1849.0	124.7	14.83	0.00e+00	0.92
chr4-11738	chr4	133037761	133052905	+	530.0	15144.000	49.000000	1847.0	280.0	6.60	0.00e+00	0.98
chr7-11529	chr7	67949860	67955965	+	527.4	6105.000	46.000000	1838.0	87.0	21.12	0.00e+00	0.86
chr2-11593	chr2	18025362	18034407	+	524.8	9045.000	54.000000	1829.0	144.1	12.69	0.00e+00	1.00
chr13-4594	chr13	28948856	28954480	+	523.6	5624.000	60.000000	1825.0	84.7	21.55	0.00e+00	0.88
chr5-4835	chr5	136859366	136871256	+	521.9	11890.000	75.000000	1819.0	205.3	8.86	0.00e+00	0.95
chr3-4353	chr3	96261335	96270727	+	521.1	9392.000	67.000000	1816.0	144.7	12.55	0.00e+00	0.93
chr10-3092	chr10	125965430	125974967	+	520.8	9537.000	86.000000	1815.0	155.3	11.69	0.00e+00	0.92
chr9-6025	chr9	41206454	41224706	+	519.9	18252.000	62.000000	1812.0	305.2	5.94	0.00e+00	0.98
chr17-3652	chr17	34585412	34593969	+	517.6	8557.000	77.000000	1804.0	155.3	11.62	0.00e+00	0.96
chr4-16628	chr4	46449467	46453867	+	516.8	4400.000	41.000000	1801.0	60.0	30.02	0.00e+00	0.79
chr13-3538	chr13	15461405	15468380	+	516.8	6975.000	71.000000	1801.0	112.9	15.95	0.00e+00	0.90
chr11-16811	chr11	94872311	94884747	+	511.0	12436.000	44.000000	1781.0	225.8	7.89	0.00e+00	0.95
chr1-4130	chr1	192785310	192802448	+	503.8	17138.000	79.000000	1756.0	294.1	5.97	0.00e+00	0.97
chr3-3432	chr3	5209839	5222645	+	503.3	12806.000	79.000000	1754.0	172.3	10.18	0.00e+00	0.94
chr11-18182	chr11	60104231	60108081	+	503.0	3850.000	42.000000	1753.0	68.8	25.47	0.00e+00	0.78
chr9-11798	chr9	41929668	41940347	+	500.4	10679.000	42.000000	1744.0	157.6	11.06	0.00e+00	0.91
chr12-3081	chr12	12936746	12944124	+	500.1	7378.000	74.000000	1743.0	129.4	13.47	0.00e+00	0.88
chr17-2344	chr17	46855422	46859481	+	500.1	4059.000	106.000000	1743.0	70.6	24.70	0.00e+00	0.79
chr4-4686	chr4	139589298	139603415	+	499.5	14117.000	84.000000	1741.0	249.4	6.98	0.00e+00	0.93
chr5-9535	chr5	149050266	149054624	+	499.5	4358.000	49.000000	1741.0	52.3	33.26	0.00e+00	0.81
chr1-5442	chr1	178335044	178339401	+	497.0	4357.000	66.000000	1732.0	75.3	23.01	0.00e+00	0.72
chr5-4490	chr5	134311893	134317171	+	496.4	5278.000	79.000000	1730.0	80.0	21.63	0.00e+00	0.81
chr11-8321	chr11	108917253	108926468	+	496.1	9215.000	67.000000	1729.0	167.0	10.35	0.00e+00	0.85
chr13-7782	chr13	103918411	103922854	+	495.2	4443.000	45.000000	1726.0	67.0	25.74	0.00e+00	0.74
chr9-3938	chr9	114560371	114565883	+	494.7	5512.000	84.000000	1724.0	105.3	16.38	0.00e+00	0.84
chr9-3992	chr9	107697816	107710836	+	494.4	13020.000	83.000000	1723.0	234.7	7.34	0.00e+00	0.98
chr6-7436	chr6	124914602	124922072	+	492.1	7470.000	54.000000	1715.0	125.9	13.63	0.00e+00	0.87
chr9-8544	chr9	64016160	64024246	+	488.6	8086.000	50.000000	1703.0	144.1	11.82	0.00e+00	0.92
chr9-8626	chr9	106446531	106457460	+	488.4	10929.000	50.000000	1702.0	215.8	7.89	0.00e+00	0.97
chr10-3945	chr10	122983253	122987871	+	487.5	4618.000	72.000000	1699.0	68.8	24.69	0.00e+00	0.81
chr15-5920	chr15	36791763	36795457	+	487.5	3694.000	51.000000	1699.0	77.6	21.88	0.00e+00	0.79
chr2-13533	chr2	75656591	75661740	+	487.2	5149.000	50.000000	1698.0	92.9	18.27	0.00e+00	0.84
chr8-6156	chr8	102780472	102787725	+	487.2	7253.000	60.000000	1698.0	122.3	13.88	0.00e+00	0.81
chr2-5278	chr2	116971071	116980963	+	486.9	9892.000	90.000000	1697.0	161.7	10.49	0.00e+00	0.83
chr13-3705	chr13	22033719	22044872	+	486.6	11153.000	69.000000	1696.0	142.3	11.92	0.00e+00	0.93
chr5-4949	chr5	142959353	142963795	+	485.8	4442.000	74.000000	1693.0	87.6	19.32	0.00e+00	0.79
chr4-9518	chr4	154699903	154713234	+	484.3	13331.000	55.000000	1688.0	234.1	7.21	0.00e+00	0.94
chr5-5608	chr5	142903945	142911015	+	484.0	7070.000	68.000000	1687.0	128.8	13.10	0.00e+00	0.90
chr18-3831	chr18	69343062	69352083	+	483.2	9021.000	57.000000	1684.0	144.7	11.64	0.00e+00	0.95
chr2-5707	chr2	30686384	30696646	+	479.5	10262.000	85.000000	1671.0	207.6	8.05	0.00e+00	0.97
